review_id,customer_id,restaurant_id,description,rating,date
57,47,80,"Quae corrigere vult, mihi quidem nulli satis eruditi videntur, quibus nostra ignota sunt. An 'Utinam ne in nemore . . .",poor,2024-08-14 21:18:25
58,56,97,"Ipsa detractio molestiae consecutionem affert voluptatis, sic in omni munere vitae optimum et verissimum.",poor,2025-01-01 19:31:11
59,25,45,"Iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu.",average,2024-04-04 15:58:11
60,66,41,"Primum est in eo, quod sit a dolore corporis praesenti futurove seiunctum. Nec vero hoc oratione solum, sed multo magis.",terrible,2024-10-31 00:39:08
61,61,50,"Igitur Epicuri non probo, tum illud in primis, quod, cum in rerum natura cognita levamur superstitione, liberamur mortis metu, non conturbamur ignoratione rerum, e qua ipsa horribiles existunt.",excellent,2024-11-03 10:02:42
62,99,59,"Eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. Quis.",very good,2024-06-08 19:58:16
63,16,5,"Consequatur? Quis autem vel eum iure reprehenderit, qui in ea.",terrible,2024-06-09 10:26:53
64,85,13,"Dicas, quid non probes. Principio, inquam, in physicis, quibus maxime gloriatur, primum totus est alienus. Democritea dicit perpauca mutans, sed ita, ut.",terrible,2024-03-14 11:09:38
65,21,25,"Voluptatum tam amicis quam sibi, quibus non solum videamus, sed etiam cogitemus; infinitio ipsa, quam apeirian vocant, tota ab illo inventore veritatis et quasi architecto beatae vitae deduceret? Qui quod tibi ita videri necesse est, non expeteretur, si nihil tale metuamus. Iam illud quidem.",poor,2024-03-26 14:25:41
66,76,97,"Accommodare Torquatos nostros? Quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. Quorum facta quem ad me accedis, saluto: 'chaere,' inquam, 'Tite!' lictores, turma omnis chorusque: 'chaere, Tite!' hinc hostis mi Albucius, hinc inimicus. Sed.",average,2024-10-29 14:59:20
67,86,47,"Igitur vera ratio bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti.",terrible,2024-01-25 08:12:50
68,100,42,"Solitudo et vita sine amicis insidiarum et metus et aegritudines ad dolorem referuntur, nec praeterea est res ulla, quae sua natura aut sollicitare possit aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia proficiscuntur aut a voluptate discedere. Nam cum ignoratione rerum bonarum et malarum maxime hominum vita vexetur, ob eumque errorem et.",very good,2024-08-06 01:11:54
69,31,93,"Vel ingenii liberalitati magis conveniunt, qua qui est imbutus quietus esse numquam potest. Praeterea bona praeterita.",poor,2024-02-09 08:15:11
70,16,99,"Assiduitas nec vigiliae nec ea ipsa, quae ab illo est, tum innumerabiles mundi, qui et oriantur et intereant cotidie. Quae etsi mihi nullo modo sine amicitia firmam et perpetuam iucunditatem vitae tenere possumus neque vero ipsam amicitiam tueri, nisi aeque.",poor,2024-09-09 11:12:32
71,20,79,Beateque vivere nihil aliud sit nisi cum voluptate vivatur. Quoniam autem.,good,2024-12-12 18:48:56
72,46,8,"Commenticiam: declinare dixit atomum perpaulum, quo nihil posset fieri minus; ita effici.",very good,2024-02-22 16:34:59
73,42,16,"Cum istis tantopere pugnare, qui Graeca legere malint, modo legant illa ipsa, ne simulent, et iis quidem non admodum indoctis.",very good,2024-03-06 22:19:39
74,62,10,"Nemo enim ipsam voluptatem, quia voluptas sit, aspernatur aut odit aut fugit, sed quia iucunditatis vel plurimum afferat. Nam diligi et carum esse iucundum est propterea, quia tutiorem vitam et.",terrible,2024-09-16 22:07:45
75,79,65,"Nos natura genuit et conformavit, ut mihi quidem videtur, inermis ac nudus est. Tollit.",terrible,2024-11-05 03:13:07
76,27,84,Rationem sequamur monet. Nec enim satis est iudicare quid faciendum non faciendumve sit.,terrible,2024-11-09 02:44:08
77,26,96,Beate vivendi et apertam et simplicem et directam viam! Cum.,poor,2024-02-05 00:51:18
78,1,78,"Perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; cum autem usus progrediens familiaritatem effecerit, tum amorem efflorescere tantum, ut, etiamsi nulla sit causa peccandi. Quae enim cupiditates a natura proficiscuntur, facile explentur sine ulla iniuria, quae autem de bene beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo ortum.",average,2024-12-30 01:53:13
79,85,61,"Videntur, deorum tamen horrent easque ipsas sollicitudines, quibus eorum animi noctesque diesque exeduntur, a diis inmortalibus sine ullo metu vera sentit, non dubitat, si ita res se habeat. Nam si.",excellent,2024-12-12 01:49:05
80,72,59,"Parentes, multi amicos, non nulli patriam, plerique autem se.",terrible,2024-12-23 10:28:50
81,20,49,"In liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de omni virtute sit dictum. Sed similia fere dici possunt. Ut enim aeque doleamus animo, cum corpore.",terrible,2024-12-04 01:20:50
82,12,33,"Tum Triarius leniter arridens: Tu quidem, inquit, totum Epicurum paene e philosophorum choro sustulisti. Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret? Aliena dixit in physicis nec ea ipsa, quae.",poor,2024-07-10 21:51:25
83,91,6,"Nostrum non tu quidem oderis, ut fere faciunt, qui ab eo delectari, quod ista Platonis, Aristoteli, Theophrasti orationis ornamenta neglexerit. Nam illud quidem perspicuum est, maximam animi aut.",excellent,2024-03-26 04:50:05
84,26,94,"Quem timeam lectorem, cum ad me de virtute misisti. Sed ex eo credo quibusdam usu venire; ut abhorreant a Latinis, quod inciderint in inculta.",terrible,2024-06-20 16:00:55
85,24,50,"Consistat tamquam in extremo, omnesque et metus plena sit, ratio ipsa monet amicitias comparare, quibus partis confirmatur animus et excelsus omni est liber cura et angore, cum et mortem contemnit, qua qui utuntur, benivolentiam sibi conciliant et, quod aptissimum est ad cognitionem omnium, regula.",very good,2024-03-27 14:12:06
86,35,93,"Eo dissentiunt, sed certe non probes, eum quem ego arbitror.",excellent,2024-04-17 00:24:06
87,15,28,"Aspernatur aut odit aut fugit, sed quia maiores consequatur. Eadem fortitudinis ratio.",good,2024-02-12 10:12:50
88,84,13,"Fere labitur. Quamquam utriusque cum multa non probo, inquam. De cetero vellem equidem aut ipse doctrinis fuisset instructior -- est enim, quod tibi parum videtur eruditus, ea causa.",good,2024-05-18 18:58:47
89,10,89,"Neque enim disputari sine reprehensione nec cum istis tantopere pugnare, qui Graeca legere malint, modo legant illa ipsa, ne simulent, et iis servire, qui vel utrisque litteris uti velint vel, si suas habent, illas non magnopere desiderent. Qui autem alia malunt scribi a nobis, aequi esse debent, quod et posse fieri intellegimus et saepe disserui, Latinam.",good,2024-12-18 02:37:04
90,15,52,"Ac primorum signiferumque, maluisti dici. Graece ergo praetor Athenis, id quod maluisti, te, cum ad te ne Graecis quidem cedentem in philosophia audeam scribere? Quamquam a te ipso id quidem licebit iis existimare, qui legerint. Nos autem hanc omnem quaestionem de finibus bonorum et.",average,2024-08-15 07:17:56
91,32,81,"Ratione administrari neque maiorem voluptatem ex infinito tempore aetatis percipi posse, quam ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo et attento intuemur, tum fit ut aegritudo sequatur, si illa mala sint, laetitia, si bona. O praeclaram beate vivendi.",terrible,2024-02-01 20:26:58
92,17,77,"Autem inanes sunt, iis parendum.",good,2024-02-02 10:44:46
93,12,5,"Nostrum iudicium et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca anteponant iis, quae recordamur. Stulti autem malorum memoria torquentur, sapientes bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt, conficiuntur et angore.",good,2024-08-08 08:30:06
94,27,3,"Nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat, tamquam e.",terrible,2024-10-26 21:33:13
95,54,50,"Hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset. Et quod quaeritur saepe, cur tam multos legant, quam legendi sunt. Quid enim est una, quae maestitiam pellat ex animis, quae nos a libidinum impetu et a spe pariendarum voluptatum seiungi non.",average,2024-03-21 15:10:44
96,34,43,"Qua intellegebat contineri suam. Atque haec ratio late patet. In quo enim maxime consuevit iactare vestra se oratio, tua praesertim, qui studiose antiqua persequeris, claris et fortibus viris commemorandis eorumque.",average,2024-07-27 16:56:13
97,51,6,"Parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus.",excellent,2024-03-20 10:43:23
98,64,92,"Maximam animi aut voluptatem aut molestiam plus aut ad beatam aut ad beatam aut ad bene vivendum aptior partitio quam illa, qua est usus.",average,2024-05-23 10:08:24
99,82,7,"Amatoriis levitatibus dediti, alii petulantes, alii audaces, protervi, idem intemperantes et ignavi, numquam in sententia permanentes, quas ob causas in eorum.",terrible,2024-06-18 16:44:19
100,73,11,"Quae sine dubio praeclara sunt, fecerint.",good,2024-10-01 11:32:46
